RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
20231,4,2020,3174751,5.670000076293945,70,NO,NO
20231,4,2020,5134021,5.599999904632568,80,NO,NO
20176,3,2020,15118173,6.199999809265137,10,SI,NO
20176,3,2020,15261666,5.349999904632568,70,NO,NO
20231,4,2020,17238045,6.150000095367432,20,NO,SI
20231,4,2020,17508244,5.730000019073486,50,NO,NO
20231,4,2020,19570768,5.670000076293945,70,NO,NO
20231,4,2020,23601411,5.670000076293945,70,NO,NO
20231,4,2020,24020503,5.699999809265137,60,NO,NO
20063,3,2019,2002935,5.269999980926514,60,NO,NO
20231,4,2019,13333802,6.170000076293945,10,SI,NO
20231,4,2019,17415703,6.099999904632568,20,NO,SI
20231,4,2019,19356619,5.650000095367432,70,NO,NO
20231,4,2018,298672,6.199999809265137,10,SI,NO
20231,4,2018,4445089,5.429999828338623,90,NO,NO
20231,4,2018,4510735,6.130000114440918,20,NO,SI
22187,3,2018,5241521,5.070000171661377,60,NO,NO
24896,4,2018,21141295,5.130000114440918,50,NO,NO
20231,4,2018,21184084,5.900000095367432,20,NO,SI
25190,4,2018,22625519,5.329999923706055,40,NO,NO
20231,4,2017,4466256,5.300000190734863,60,NO,NO
20231,4,2017,5396305,6.03000020980835,10,NO,SI
20231,4,2017,5837731,5.25,70,NO,NO
20231,4,2017,9522219,5.96999979019165,10,NO,SI
20231,4,2017,11327554,5.449999809265137,50,NO,NO
25514,1,2017,12534939,5.53000020980835,30,NO,SI
20214,3,2017,12841636,5.75,20,NO,SI
20231,4,2017,23632922,5.46999979019165,40,NO,NO
20231,4,2017,23951113,5.570000171661377,40,NO,NO
5653,3,2015,689123,5.070000171661377,60,NO,NO
20063,3,2013,1499740,5.599999904632568,10,NO,SI
20176,3,2012,1748301,5.400000095367432,30,NO,SI
20231,4,2015,2016105,5.5,40,NO,NO
20231,4,2016,2039215,5.5,80,NO,NO
22188,3,2014,3479867,4.5,90,NO,NO
20231,4,2016,4181726,5.599999904632568,60,NO,NO
20231,4,2016,4918090,6.300000190734863,20,NO,SI
20231,4,2011,6548405,5.929999828338623,10,NO,SI
22405,3,2015,6900323,5.369999885559082,40,NO,NO
20063,3,2009,7582140,6.150000095367432,10,NO,SI
20231,4,2011,7972780,5.670000076293945,40,NO,NO
20231,4,2011,8338472,6.099999904632568,10,NO,SI
20231,4,2014,10431611,5.670000076293945,40,NO,NO
6163,2,2016,10529890,4.570000171661377,80,NO,NO
20231,4,2011,12005695,5.670000076293945,40,NO,NO
1894,1,2015,12039994,5.829999923706055,30,NO,SI
20231,4,2012,14876589,5.849999904632568,50,NO,NO
20231,4,2013,15327469,5.269999980926514,80,NO,NO
13415,3,2015,15681446,5.699999809265137,20,NO,SI
20231,4,2012,16377987,6.099999904632568,20,NO,SI
20063,3,2015,17359207,6.5,10,NO,SI
20231,4,2015,19093259,6.400000095367432,10,NO,SI
20176,3,2012,21279158,5.699999809265137,20,NO,SI
20231,4,2016,22364663,6,40,NO,NO
20231,4,2012,23496826,5.53000020980835,60,NO,NO
20231,4,2014,23882259,5.329999923706055,60,NO,NO
