cat_periodo,codigo_unico,MRUN,GEN_ALU,FEC_NAC_ALU,rango_edad,anio_ing_carr_ori,sem_ing_carr_ori,anio_ing_carr_act,sem_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,cod_sede,nomb_sede,cod_carrera,nomb_carrera,modalidad,jornada,version,tipo_plan_carr,dur_estudio_carr,dur_proceso_tit,dur_total_carr,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,nivel_carrera_2,requisito_ingreso,vigencia_carrera,valor_matricula,valor_arancel,codigo_demre,area_conocimiento,cine_f_13_area,cine_f_13_subarea,area_carrera_generica,acreditada_carr,acreditada_inst,acre_inst_desde_hasta,acre_inst_anio,costo_proceso_titulacion,costo_obtencion_titulo_diploma,forma_ingreso
2021,I20S3C7J1V2,48237,2,200108,15 a 19 años,2020,1,2020,1,Universidades,Universidades Privadas,Universidades Privadas,20,UNIVERSIDAD ANDRES BELLO,3,SEDE VIÑA DEL MAR,7,PSICOLOGIA,Presencial,Diurno,2,Plan Regular,10,0,10,Valparaíso,VALPARAISO,VIÑA DEL MAR,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,490000,4910000,41068,Ciencias Sociales,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,Psicología,NO ACREDITADA,ACREDITADA,24/12/2017 AL 24/12/2022,5,0,116300,1- Ingreso Directo (regular)
2021,I10S4C23J1V1,50124,1,200109,15 a 19 años,2020,1,2021,1,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,23,ENFERMERIA,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,445000,5073180,39405,Salud,Salud y Bienestar,Salud,Enfermería,ACREDITADA,ACREDITADA,20/05/2015 AL 20/05/2020,5,0,178000,2- Continuidad desde plan común o Bachillerato.
2021,I69S1C261J1V1,86055,1,199910,20 a 24 años,2020,1,2020,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,69,UNIVERSIDAD ALBERTO HURTADO,1,CASA CENTRAL (SANTIAGO),261,PEDAGOGIA EN MATEMATICA,Presencial,Diurno,1,Plan Regular,10,2,10,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,171000,3517000,45029,Educación,Educación,Educación,Pedagogía en Matemáticas y Computación,ACREDITADA,ACREDITADA,18/12/2019 AL 18/12/2023,4,232000,0,1- Ingreso Directo (regular)
2021,I23S2C1J1V3,133816,1,200202,15 a 19 años,2020,1,2020,1,Universidades,Universidades Privadas,Universidades Privadas,23,UNIVERSIDAD ADOLFO IBAÑEZ,2,SEDE PEÑALOLEN,1,INGENIERIA COMERCIAL,Presencial,Diurno,3,Plan Regular de Continuidad,6,0,6,Metropolitana,SANTIAGO,PEÑALOLEN,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Plan Común,VIGENTE CON ALUMNOS NUEVOS,668955,6398700,0,Administración y Comercio,Administración de Empresas y Derecho,Educación Comercial y Administración,Ingeniería Comercial,ACREDITADA,ACREDITADA,18/11/2015 AL 18/11/2020,5,0,65000,1- Ingreso Directo (regular)
2021,I20S1C221J1V1,143822,2,199211,25 a 29 años,2021,1,2021,1,Universidades,Universidades Privadas,Universidades Privadas,20,UNIVERSIDAD ANDRES BELLO,1,CASA CENTRAL (SANTIAGO),221,DIPLOMADO EN OCLUSION CLINICA,Presencial,Diurno,1,Plan Regular,1,0,1,Metropolitana,SANTIAGO,SANTIAGO,Postítulo,Diplomado (superior a un semestre),Postítulo,Título Profesional,VIGENTE CON ALUMNOS NUEVOS,280000,2700000,0,Salud,Salud y Bienestar,Salud,Postítulo en Salud,NO ACREDITADA,ACREDITADA,24/12/2017 AL 24/12/2022,5,0,0,1- Ingreso Directo (regular)
2021,I86S1C29J1V1,207367,2,200106,20 a 24 años,2020,1,2020,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,1,CASA CENTRAL,29,DERECHO,Presencial,Diurno,1,Plan Regular,10,0,10,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,137500,5740000,12021,Derecho,Administración de Empresas y Derecho,Derecho,Derecho,ACREDITADA,ACREDITADA,01/12/2018 AL 01/12/2025,7,0,0,1- Ingreso Directo (regular)
2021,I70S1C160J1V1,209846,2,200101,20 a 24 años,2021,1,2021,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,1,SANTIAGO,160,OBSTETRICIA Y PUERICULTURA,Presencial,Diurno,1,Plan Regular,10,0,10,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,149000,4404600,11085,Salud,Salud y Bienestar,Salud,Obstetricia y Puericultura,NO ACREDITADA,ACREDITADA,22/12/2018 AL 22/12/2025,7,0,75000,1- Ingreso Directo (regular)
2021,I34S1C146J1V1,234345,2,200004,20 a 24 años,2020,1,2020,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,34,UNIVERSIDAD DE LOS ANDES,1,CASA CENTRAL (SANTIAGO),146,KINESIOLOGIA,Presencial,Diurno,1,Plan Regular,10,1,10,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,465360,5031705,43015,Salud,Salud y Bienestar,Salud,Kinesiología,ACREDITADA,ACREDITADA,13/12/2017 AL 13/12/2022,5,145425,0,1- Ingreso Directo (regular)
2021,I77S1C6J1V1,236851,2,200208,15 a 19 años,2021,1,2021,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,77,UNIVERSIDAD DE MAGALLANES,1,CASA CENTRAL (PUNTA ARENAS),6,ENFERMERIA,Presencial,Diurno,1,Plan Regular,10,0,10,Magallanes,MAGALLANES,PUNTA ARENAS,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,137000,3555000,33060,Salud,Salud y Bienestar,Salud,Enfermería,NO ACREDITADA,ACREDITADA,30/12/2019 AL 30/12/2023,4,0,86000,1- Ingreso Directo (regular)
2021,I20S3C1J1V1,279303,1,200108,15 a 19 años,2021,1,2021,1,Universidades,Universidades Privadas,Universidades Privadas,20,UNIVERSIDAD ANDRES BELLO,3,SEDE VIÑA DEL MAR,1,INGENIERIA COMERCIAL,Presencial,Diurno,1,Plan Regular,10,0,10,Valparaíso,VALPARAISO,VIÑA DEL MAR,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,490000,4430000,41076,Administración y Comercio,Administración de Empresas y Derecho,Educación Comercial y Administración,Ingeniería Comercial,NO ACREDITADA,ACREDITADA,24/12/2017 AL 24/12/2022,5,0,116300,10- Otras formas de Ingreso
