RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
16457,3,2020,15312069,5.670000076293945,20,NO,SI
8427,1,2020,21516052,5.599999904632568,30,NO,SI
25054,4,2019,19560937,6.550000190734863,20,NO,SI
4263,3,2018,3333676,6.699999809265137,10,SI,NO
20310,3,2018,5822186,5.53000020980835,50,NO,NO
8424,1,2018,7279754,5.699999809265137,20,NO,SI
24330,3,2018,20939356,6.199999809265137,10,SI,NO
16892,3,2018,20957697,5.46999979019165,40,NO,NO
8424,1,2018,23768112,5.199999809265137,50,NO,NO
14556,3,2017,6227225,6.050000190734863,10,SI,SI
17658,4,2017,6248382,5.199999809265137,40,NO,NO
16892,3,2017,19886591,5.070000171661377,60,NO,NO
11685,4,2010,2397657,4.880000114440918,80,NO,NO
11685,4,2014,3152264,5.369999885559082,50,NO,NO
17658,4,2013,4151922,4.96999979019165,90,NO,NO
8928,1,2014,6431075,5.800000190734863,20,NO,SI
11685,4,2010,7945909,5.099999904632568,60,NO,NO
11685,4,2012,8102362,4.699999809265137,90,NO,NO
12935,3,2014,8315047,4.869999885559082,80,NO,NO
8432,1,2009,8324585,5.269999980926514,40,NO,NO
24933,4,2012,8676886,4.900000095367432,70,NO,NO
8432,1,2016,15296446,5.070000171661377,80,NO,NO
12294,4,2009,16211509,6.130000114440918,10,NO,SI
24330,3,2013,17840676,4.900000095367432,80,NO,NO
8432,1,2014,21666984,4.849999904632568,90,NO,NO
12294,4,2016,22045166,6.670000076293945,10,NO,SI
24896,4,2015,22051536,4.699999809265137,70,NO,NO
14654,3,2016,22504254,4.449999809265137,80,NO,NO
11685,4,2013,24012506,5.599999904632568,20,NO,SI
16892,3,2015,24476343,5.5,40,NO,NO
11685,4,2012,24479739,6.050000190734863,10,NO,SI
