RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
8873,4,2020,1767709,6.300000190734863,80,NO,NO
8873,4,2020,2524424,6.5,50,NO,NO
8873,4,2020,2697872,6.699999809265137,30,NO,SI
8873,4,2020,3823243,6.829999923706055,10,SI,NO
8873,4,2020,5422491,6.900000095367432,10,SI,NO
8873,4,2020,6030507,6.650000095367432,30,NO,SI
8873,4,2020,6103063,6.679999828338623,30,NO,SI
8873,4,2020,6146796,6.849999904632568,10,SI,NO
8873,4,2020,8195646,6.5,50,NO,NO
8873,4,2020,10726002,7,10,SI,NO
8873,4,2020,11401876,6.849999904632568,10,SI,NO
8873,4,2020,12008665,6.400000095367432,60,NO,NO
8873,4,2020,12570571,6.550000190734863,50,NO,NO
9046,4,2020,13057005,6.03000020980835,90,NO,NO
8873,4,2020,13233206,6.5,50,NO,NO
8873,4,2020,13651072,6.050000190734863,90,NO,NO
8873,4,2020,16856082,6.630000114440918,40,NO,NO
8873,4,2020,16950895,5.980000019073486,90,NO,NO
8873,4,2020,17368346,6.329999923706055,70,NO,NO
8873,4,2020,17515686,6.650000095367432,30,NO,SI
8873,4,2020,17608010,5.980000019073486,90,NO,NO
8873,4,2020,17844495,6.579999923706055,50,NO,NO
8873,4,2020,18787197,6.650000095367432,30,NO,SI
8873,4,2020,19805210,6.75,20,NO,SI
8873,4,2020,21369042,5.630000114440918,100,NO,NO
8873,4,2020,21863565,6.329999923706055,70,NO,NO
8873,4,2020,24329812,6.75,20,NO,SI
8873,4,2020,24683263,6.829999923706055,10,SI,NO
8873,4,2020,24737125,6.179999828338623,80,NO,NO
8873,4,2020,2565308,6.380000114440918,70,NO,NO
8873,4,2020,3455701,6.849999904632568,10,SI,NO
8873,4,2020,3766068,6.380000114440918,70,NO,NO
8873,4,2020,3909106,6.5,50,NO,NO
8873,4,2020,4673045,6.599999904632568,40,NO,NO
8873,4,2020,4701253,5.929999828338623,100,NO,NO
8873,4,2020,6045605,6.699999809265137,30,NO,SI
8873,4,2020,6268162,6.329999923706055,70,NO,NO
8873,4,2020,6701042,6.550000190734863,50,NO,NO
8873,4,2020,9223764,6.480000019073486,60,NO,NO
8873,4,2020,10762588,6.130000114440918,80,NO,NO
8873,4,2020,10851739,6.079999923706055,90,NO,NO
8972,4,2020,12724524,6.829999923706055,20,NO,SI
8873,4,2020,12992098,6.230000019073486,80,NO,NO
8873,4,2020,14068344,6.349999904632568,70,NO,NO
8873,4,2020,14370764,6.5,50,NO,NO
8873,4,2020,15648610,6.050000190734863,90,NO,NO
8873,4,2020,15658000,6.800000190734863,20,NO,SI
8873,4,2020,15841174,6.880000114440918,10,SI,NO
8873,4,2020,16289459,6.599999904632568,40,NO,NO
8873,4,2020,17966096,6.53000020980835,50,NO,NO
8873,4,2020,19642156,6.75,20,NO,SI
8873,4,2020,20311601,6.78000020980835,20,NO,SI
8873,4,2020,20492090,6.75,20,NO,SI
8873,4,2020,20566068,6.78000020980835,20,NO,SI
8873,4,2020,21207726,6.650000095367432,30,NO,SI
8873,4,2020,22878724,6.199999809265137,80,NO,NO
8873,4,2020,24101518,6.78000020980835,20,NO,SI
8873,4,2020,372240,6.449999809265137,60,NO,NO
8873,4,2020,1390833,5.949999809265137,90,NO,NO
8873,4,2020,2942295,6.03000020980835,90,NO,NO
8873,4,2020,3483254,6.03000020980835,90,NO,NO
8873,4,2020,3770041,6.599999904632568,40,NO,NO
8873,4,2020,3807302,6.380000114440918,70,NO,NO
8873,4,2020,3867473,6.679999828338623,30,NO,SI
8873,4,2020,4015110,6.5,50,NO,NO
8873,4,2020,4976862,6.599999904632568,40,NO,NO
8873,4,2020,8411011,6,90,NO,NO
8873,4,2020,10399448,6.579999923706055,50,NO,NO
8873,4,2020,11802843,6.78000020980835,20,NO,SI
8873,4,2020,11861788,5.900000095367432,100,NO,NO
8873,4,2020,12348018,6.880000114440918,10,SI,NO
8873,4,2020,13779916,6.599999904632568,40,NO,NO
8873,4,2020,14966640,6.150000095367432,80,NO,NO
8873,4,2020,15233893,6.380000114440918,70,NO,NO
8873,4,2020,15274907,6.679999828338623,30,NO,SI
8873,4,2020,15758560,6.849999904632568,10,SI,NO
8873,4,2020,16665820,6.429999828338623,60,NO,NO
8873,4,2020,18096899,6.550000190734863,50,NO,NO
8873,4,2020,18144867,6.579999923706055,50,NO,NO
8873,4,2020,18150167,6.75,20,NO,SI
8873,4,2020,18226513,6.679999828338623,30,NO,SI
8873,4,2020,18444251,6.380000114440918,70,NO,NO
8873,4,2020,19873620,5.679999828338623,100,NO,NO
8873,4,2020,20815835,5.849999904632568,100,NO,NO
8873,4,2020,21519452,6.650000095367432,30,NO,SI
8873,4,2020,21671755,6.880000114440918,10,SI,NO
8873,4,2020,24493356,5.980000019073486,90,NO,NO
8873,4,2020,229625,6.130000114440918,80,NO,NO
8873,4,2020,1814444,5.849999904632568,100,NO,NO
8873,4,2020,3860018,6.75,20,NO,SI
8873,4,2020,5241448,6.329999923706055,70,NO,NO
8873,4,2020,5613734,6.429999828338623,60,NO,NO
8873,4,2020,5673506,6.579999923706055,50,NO,NO
8873,4,2020,8356256,6.800000190734863,20,NO,SI
8873,4,2020,8872512,5.75,100,NO,NO
8873,4,2020,9906578,6.449999809265137,60,NO,NO
8873,4,2020,10588533,6.730000019073486,30,NO,SI
8873,4,2020,11297374,5.980000019073486,90,NO,NO
8873,4,2020,12021067,6.5,50,NO,NO
8873,4,2020,13436876,5.800000190734863,100,NO,NO
8873,4,2020,13639603,6.75,20,NO,SI
8873,4,2020,13679674,5.900000095367432,100,NO,NO
8873,4,2020,13773472,6.400000095367432,60,NO,NO
8873,4,2020,15962604,6.78000020980835,20,NO,SI
8873,4,2020,17668456,6.03000020980835,90,NO,NO
8873,4,2020,20739980,6.28000020980835,80,NO,NO
8873,4,2020,22960674,6.579999923706055,50,NO,NO
8917,4,2020,22992998,6.550000190734863,40,NO,NO
8873,4,2020,23163504,6.429999828338623,60,NO,NO
8873,4,2020,23190808,5.929999828338623,100,NO,NO
8873,4,2020,23973960,6.679999828338623,30,NO,SI
8873,4,2020,24026889,6.150000095367432,80,NO,NO
8873,4,2020,24411462,6.900000095367432,10,SI,NO
8873,4,2020,24717738,6.400000095367432,60,NO,NO
8873,4,2019,357263,6.03000020980835,90,NO,NO
8873,4,2019,583657,6.179999828338623,70,NO,NO
8873,4,2019,1237651,6.630000114440918,30,NO,SI
8873,4,2019,1924166,6.449999809265137,40,NO,NO
8873,4,2019,2316359,6.429999828338623,50,NO,NO
8873,4,2019,3093724,6.480000019073486,40,NO,NO
8873,4,2019,6010550,6.380000114440918,60,NO,NO
8873,4,2019,7295683,6.150000095367432,80,NO,NO
8873,4,2019,7479867,6.28000020980835,60,NO,NO
8873,4,2019,7927498,6.400000095367432,50,NO,NO
8873,4,2019,8511573,5.949999809265137,90,NO,NO
8873,4,2019,9971942,6.78000020980835,20,NO,SI
8873,4,2019,10316923,6.78000020980835,20,NO,SI
8873,4,2019,10630362,6.050000190734863,90,NO,NO
8873,4,2019,11031329,6.449999809265137,40,NO,NO
8873,4,2019,11349439,6.929999828338623,10,SI,NO
8873,4,2019,12241793,6.550000190734863,40,NO,NO
8873,4,2019,13464357,6.130000114440918,80,NO,NO
8873,4,2019,14381064,6.150000095367432,80,NO,NO
8873,4,2019,15498596,6.699999809265137,20,NO,SI
8873,4,2019,17917178,5.980000019073486,90,NO,NO
8873,4,2019,18277687,6.849999904632568,10,SI,NO
8873,4,2019,18293242,6.349999904632568,60,NO,NO
8873,4,2019,20303013,6.449999809265137,40,NO,NO
8873,4,2019,20547928,6.75,20,NO,SI
8873,4,2019,22683161,5.829999923706055,100,NO,NO
8873,4,2019,23093622,6.449999809265137,40,NO,NO
8873,4,2019,23676260,6.699999809265137,20,NO,SI
8873,4,2019,23697009,6.050000190734863,90,NO,NO
8873,4,2019,738728,6.699999809265137,20,NO,SI
8873,4,2019,1422354,6.099999904632568,80,NO,NO
8873,4,2019,2385487,6.699999809265137,20,NO,SI
8873,4,2019,3700454,6.53000020980835,40,NO,NO
8873,4,2019,4237522,5.929999828338623,100,NO,NO
8873,4,2019,4646685,5.75,100,NO,NO
8873,4,2019,5886347,6.579999923706055,30,NO,SI
8894,4,2020,6901026,5.730000019073486,90,NO,NO
8873,4,2019,8310287,5.75,100,NO,NO
8873,4,2019,11970859,6.880000114440918,10,SI,NO
8873,4,2019,13319060,6.230000019073486,70,NO,NO
8873,4,2019,13560868,6.429999828338623,50,NO,NO
8873,4,2019,14065905,6.329999923706055,60,NO,NO
8873,4,2019,14207705,6,90,NO,NO
8873,4,2019,14210862,6.829999923706055,10,SI,NO
8873,4,2019,14515743,6.579999923706055,30,NO,SI
25654,4,2019,16548989,6.050000190734863,80,NO,NO
8873,4,2019,16926816,6.179999828338623,70,NO,NO
8873,4,2019,16999331,6.230000019073486,70,NO,NO
8873,4,2019,17116892,6.429999828338623,50,NO,NO
8873,4,2019,17240039,6.050000190734863,90,NO,NO
8873,4,2019,17920660,6.650000095367432,30,NO,SI
8873,4,2019,18516036,5.980000019073486,90,NO,NO
8873,4,2019,21436785,6.429999828338623,50,NO,NO
8873,4,2019,21456845,6.130000114440918,80,NO,NO
8873,4,2019,22808125,6.550000190734863,40,NO,NO
8873,4,2019,24126817,6.329999923706055,60,NO,NO
8873,4,2019,24230176,5.730000019073486,100,NO,NO
8873,4,2019,24598633,6.929999828338623,10,SI,NO
8873,4,2019,666901,6.230000019073486,70,NO,NO
8873,4,2019,1196410,6.230000019073486,70,NO,NO
8873,4,2019,2240777,5.880000114440918,100,NO,NO
8873,4,2019,3065387,6.230000019073486,70,NO,NO
8873,4,2019,4283766,6.829999923706055,10,SI,NO
8873,4,2019,4594410,6.349999904632568,60,NO,NO
8873,4,2019,4746556,5.849999904632568,100,NO,NO
8873,4,2019,4784491,6.25,70,NO,NO
8873,4,2019,6420469,6.800000190734863,10,SI,NO
8873,4,2019,7112578,6.579999923706055,30,NO,SI
8873,4,2019,8581484,6.5,40,NO,NO
8873,4,2019,9424826,6.849999904632568,10,SI,NO
8873,4,2019,12143934,6.949999809265137,10,SI,NO
8873,4,2019,13095796,6.329999923706055,60,NO,NO
8873,4,2019,13205683,6.599999904632568,30,NO,SI
8873,4,2019,13456357,6.199999809265137,70,NO,NO
8873,4,2019,13640127,6.880000114440918,10,SI,NO
8873,4,2019,14801944,6.679999828338623,20,NO,SI
8873,4,2019,16400418,6,90,NO,NO
8873,4,2019,16533525,6.75,20,NO,SI
8873,4,2019,17252548,6.130000114440918,80,NO,NO
8873,4,2019,17442321,5.800000190734863,100,NO,NO
8873,4,2019,18369893,6.230000019073486,70,NO,NO
8873,4,2019,18463342,6.650000095367432,30,NO,SI
8873,4,2019,19504654,6.03000020980835,90,NO,NO
8873,4,2019,20831772,6.400000095367432,50,NO,NO
8873,4,2019,21753294,6.230000019073486,70,NO,NO
8873,4,2019,21887400,6.349999904632568,60,NO,NO
8873,4,2019,24165359,5.900000095367432,100,NO,NO
8873,4,2019,24634693,6.78000020980835,20,NO,SI
8873,4,2019,1110,6.5,40,NO,NO
26134,4,2019,744413,6.079999923706055,30,NO,SI
