cat_periodo,codigo_unico,MRUN,GEN_ALU,FEC_NAC_ALU,rango_edad,anio_ing_carr_ori,sem_ing_carr_ori,anio_ing_carr_act,sem_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,cod_sede,nomb_sede,cod_carrera,nomb_carrera,modalidad,jornada,version,tipo_plan_carr,dur_estudio_carr,dur_proceso_tit,dur_total_carr,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,nivel_carrera_2,requisito_ingreso,vigencia_carrera,valor_matricula,valor_arancel,codigo_demre,area_conocimiento,cine_f_13_area,cine_f_13_subarea,area_carrera_generica,acreditada_carr,acreditada_inst,acre_inst_desde_hasta,acre_inst_anio,costo_proceso_titulacion,costo_obtencion_titulo_diploma,forma_ingreso
2021,I86S5C131J1V2,67189,1,199912,20 a 24 años,2018,1,2018,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,5,CAMPUS SAN JOAQUIN,131,INGENIERIA CIVIL,Presencial,Diurno,2,Plan Regular,11,0,11,Metropolitana,SANTIAGO,MACUL,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,137500,7032000,12039,Tecnología,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,"Ingeniería Civil, plan común y licenciatura en Ciencias de la Ingeniería",NO ACREDITADA,ACREDITADA,01/12/2018 AL 01/12/2025,7,0,0,1- Ingreso Directo (regular)
2021,I76S1C11J1V1,117620,1,200106,20 a 24 años,2020,1,2020,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,76,UNIVERSIDAD DE LA FRONTERA,1,CASA CENTRAL (TEMUCO),11,INGENIERIA COMERCIAL,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,128000,3695000,30085,Administración y Comercio,Administración de Empresas y Derecho,Educación Comercial y Administración,Ingeniería Comercial,ACREDITADA,ACREDITADA,28/11/2018 AL 28/11/2024,6,100000,50000,1- Ingreso Directo (regular)
2021,I10S4C72J1V1,222654,2,200206,15 a 19 años,2021,1,2021,1,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,72,TERAPIA OCUPACIONAL,Presencial,Diurno,1,Plan Regular,10,1,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,445000,4772380,39421,Salud,Salud y Bienestar,Salud,Terapia Ocupacional,ACREDITADA,ACREDITADA,20/05/2015 AL 20/05/2020,5,0,178000,1- Ingreso Directo (regular)
2021,I45S2C15J1V1,240107,2,200208,15 a 19 años,2021,1,2021,1,Universidades,Universidades Privadas,Universidades Privadas,45,UNIVERSIDAD DEL DESARROLLO,2,SEDE SANTIAGO (LAS CONDES),15,DISEÑO,Presencial,Diurno,1,Plan Regular,10,0,10,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,727125,6980400,44007,Arte y Arquitectura,Artes y Humanidades,Artes,Diseño,NO ACREDITADA,ACREDITADA,15/12/2016 AL 15/12/2021,5,0,20000,1- Ingreso Directo (regular)
2021,I45S4C756J1V1,258330,2,200202,15 a 19 años,2021,1,2021,1,Universidades,Universidades Privadas,Universidades Privadas,45,UNIVERSIDAD DEL DESARROLLO,4,SEDE SANTIAGO (S.C. APOQUINDO),756,BACHILLERATO EN INGENIERIA COMERCIAL,Presencial,Diurno,1,Plan Regular,2,0,2,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,727125,6980400,44009,Administración y Comercio,Administración de Empresas y Derecho,Educación Comercial y Administración,Ingeniería Comercial,NO ACREDITADA,ACREDITADA,15/12/2016 AL 15/12/2021,5,0,20000,9- Ingreso por características especiales
2021,I94S1C1J1V1,298672,1,200001,20 a 24 años,2019,1,2019,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,94,UNIVERSIDAD CATOLICA DE TEMUCO,1,CASA CENTRAL (TEMUCO),1,AGRONOMIA,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,163000,3429000,37014,Agropecuaria,"Agricultura, Silvicultura, Pesca y Veterinaria",Agricultura,Agronomía,ACREDITADA,ACREDITADA,16/07/2019 AL 16/07/2024,5,101676,0,1- Ingreso Directo (regular)
2021,I23S2C101J1V1,301975,1,200005,20 a 24 años,2019,1,2019,1,Universidades,Universidades Privadas,Universidades Privadas,23,UNIVERSIDAD ADOLFO IBAÑEZ,2,SEDE PEÑALOLEN,101,INGENIERIA CIVIL INFORMATICA,Presencial,Diurno,1,Plan Regular de Continuidad,6,1,7,Metropolitana,SANTIAGO,PEÑALOLEN,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Plan Común,VIGENTE CON ALUMNOS NUEVOS,668955,6398700,0,Tecnología,Tecnología de la Información y la Comunicación (TIC),Tecnología de la Información y la Comunicación (TIC),Ingeniería Civil en Computación e Informática,ACREDITADA,ACREDITADA,18/11/2015 AL 18/11/2020,5,0,65000,1- Ingreso Directo (regular)
2021,I70S1C681J1V1,351629,2,199007,30 a 34 años,2021,1,2021,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,1,SANTIAGO,681,TITULO DE PROFESIONAL ESPECIALISTA EN NEUROLOGIA,Presencial,Diurno,1,Plan Regular,6,0,6,Metropolitana,SANTIAGO,SANTIAGO,Postítulo,Especialidad Médica U Odontológica,Postítulo,Título Profesional,VIGENTE CON ALUMNOS NUEVOS,149000,9170000,0,Salud,Salud y Bienestar,Salud,Postítulo en Salud,ACREDITADA,ACREDITADA,22/12/2018 AL 22/12/2025,7,0,35000,1- Ingreso Directo (regular)
2021,I23S1C42J1V1,366632,2,200107,15 a 19 años,2020,1,2020,1,Universidades,Universidades Privadas,Universidades Privadas,23,UNIVERSIDAD ADOLFO IBAÑEZ,1,CASA CENTRAL (VIÑA DEL MAR),42,PSICOLOGIA,Presencial,Diurno,1,Plan Regular,10,0,10,Valparaíso,VALPARAISO,VIÑA DEL MAR,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,610785,5235300,42024,Ciencias Sociales,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,Psicología,ACREDITADA,ACREDITADA,18/11/2015 AL 18/11/2020,5,0,65000,1- Ingreso Directo (regular)
2021,I45S4C1J1V2,389550,2,200204,15 a 19 años,2021,1,2021,1,Universidades,Universidades Privadas,Universidades Privadas,45,UNIVERSIDAD DEL DESARROLLO,4,SEDE SANTIAGO (S.C. APOQUINDO),1,ARQUITECTURA,Presencial,Diurno,2,Plan Regular,11,0,11,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,727125,7096740,44001,Arte y Arquitectura,"Ingeniería, Industria y Construcción",Arquitectura y Construcción,Arquitectura,ACREDITADA,ACREDITADA,15/12/2016 AL 15/12/2021,5,0,20000,1- Ingreso Directo (regular)
2021,I10S4C156J1V1,450497,1,199206,25 a 29 años,2011,1,2011,1,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,156,INGENIERIA CIVIL INDUSTRIAL,Presencial,Diurno,1,Plan Regular,10,1,11,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE SIN ALUMNOS NUEVOS,384000,3595500,39408,Tecnología,"Ingeniería, Industria y Construcción",Industria y Producción,Ingeniería Civil Industrial,NO ACREDITADA,ACREDITADA,20/05/2015 AL 20/05/2020,5,0,178000,1- Ingreso Directo (regular)
