RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
8926,1,2020,2117894,6.449999809265137,30,NO,SI
8926,1,2020,2361809,6.25,40,NO,NO
8926,1,2020,2443500,5.78000020980835,80,NO,NO
8926,1,2020,4507314,5.829999923706055,80,NO,NO
8926,1,2020,5567545,6.199999809265137,40,NO,NO
8926,1,2020,6593159,6.099999904632568,50,NO,NO
8926,1,2020,6873379,6,60,NO,NO
8926,1,2020,7726711,5.949999809265137,60,NO,NO
8926,1,2020,8780197,6.429999828338623,30,NO,SI
8926,1,2020,8864266,6.679999828338623,10,SI,NO
8926,1,2020,9388817,5.849999904632568,70,NO,NO
8926,1,2020,9849916,5.980000019073486,60,NO,NO
8926,1,2020,10137429,6.5,20,NO,SI
8926,1,2020,10722724,6.53000020980835,20,NO,SI
8926,1,2020,12096579,6.380000114440918,30,NO,SI
8926,1,2020,13151464,6.03000020980835,60,NO,NO
8926,1,2020,13390827,6.28000020980835,40,NO,NO
8926,1,2020,14107279,6.730000019073486,10,SI,NO
8926,1,2020,15677386,6.300000190734863,40,NO,NO
8926,1,2020,16142188,5.550000190734863,90,NO,NO
8926,1,2020,16557097,6.579999923706055,20,NO,SI
8926,1,2020,18380001,6.199999809265137,40,NO,NO
8926,1,2020,18476455,6.75,10,SI,NO
8926,1,2020,18791792,6.079999923706055,50,NO,NO
8926,1,2020,19376416,6.03000020980835,60,NO,NO
8926,1,2020,20174241,6.079999923706055,50,NO,NO
8926,1,2020,260413,6.75,10,SI,NO
8926,1,2020,977263,6.400000095367432,30,NO,SI
8926,1,2020,2506223,6.03000020980835,60,NO,NO
8926,1,2020,3533668,6.650000095367432,10,SI,NO
8926,1,2020,4755635,6.650000095367432,10,SI,NO
8926,1,2020,5568854,6.699999809265137,10,SI,NO
8926,1,2020,6991445,6.230000019073486,40,NO,NO
8926,1,2020,7368643,6.800000190734863,10,SI,NO
8926,1,2020,7752020,5.949999809265137,60,NO,NO
8926,1,2020,7837415,6,60,NO,NO
8926,1,2020,9329274,6.699999809265137,10,SI,NO
8926,1,2020,9828413,6.599999904632568,20,NO,SI
8926,1,2020,11450408,6.449999809265137,30,NO,SI
8926,1,2020,11596921,6.599999904632568,20,NO,SI
8926,1,2020,13430713,6.28000020980835,40,NO,NO
8926,1,2020,13703293,5.630000114440918,90,NO,NO
8926,1,2020,15061782,6.599999904632568,20,NO,SI
8926,1,2020,15252021,6.400000095367432,30,NO,SI
8926,1,2020,17011462,6.480000019073486,30,NO,SI
8926,1,2020,17354187,5.5,100,NO,NO
8926,1,2020,18963930,6.550000190734863,20,NO,SI
8926,1,2020,20419725,6.400000095367432,30,NO,SI
8926,1,2020,21926117,6.630000114440918,20,NO,SI
8926,1,2020,22459521,6.599999904632568,20,NO,SI
8926,1,2020,734559,6.329999923706055,40,NO,NO
8926,1,2020,814330,5.880000114440918,70,NO,NO
8926,1,2020,2366697,5.400000095367432,100,NO,NO
8926,1,2020,2605346,5.849999904632568,70,NO,NO
8926,1,2020,2745864,5.929999828338623,70,NO,NO
8926,1,2020,4021940,5.630000114440918,90,NO,NO
8926,1,2020,4269705,5.880000114440918,70,NO,NO
8926,1,2020,5487526,5.730000019073486,80,NO,NO
8926,1,2020,5986616,5.900000095367432,70,NO,NO
8926,1,2020,6158398,5.730000019073486,80,NO,NO
8926,1,2020,6720584,5.949999809265137,60,NO,NO
8926,1,2020,6760496,5.650000095367432,90,NO,NO
8926,1,2020,7465276,5.929999828338623,70,NO,NO
8926,1,2020,7943111,5.900000095367432,70,NO,NO
8926,1,2020,8911619,5.130000114440918,100,NO,NO
8926,1,2020,9436458,5.78000020980835,80,NO,NO
8926,1,2020,9488679,5.449999809265137,100,NO,NO
8926,1,2020,11446755,5.579999923706055,90,NO,NO
8926,1,2020,12455086,6.050000190734863,50,NO,NO
8926,1,2020,13528825,5.579999923706055,90,NO,NO
8926,1,2020,13925946,5.449999809265137,100,NO,NO
8926,1,2020,14305550,6.25,40,NO,NO
8926,1,2020,15531789,5.75,80,NO,NO
8926,1,2020,17067626,5.699999809265137,90,NO,NO
8926,1,2020,17349329,5.880000114440918,70,NO,NO
8926,1,2020,17987844,5.75,80,NO,NO
8926,1,2020,18005604,5.429999828338623,100,NO,NO
8926,1,2020,18147874,5.800000190734863,80,NO,NO
8926,1,2020,19792834,5.980000019073486,60,NO,NO
8926,1,2020,19915710,5.730000019073486,80,NO,NO
8926,1,2020,20831477,6.130000114440918,50,NO,NO
8926,1,2020,21000519,5.980000019073486,60,NO,NO
8926,1,2020,21507877,5.75,80,NO,NO
8926,1,2020,21816195,5.75,80,NO,NO
8926,1,2020,21834077,6.28000020980835,40,NO,NO
8926,1,2020,22091177,5.900000095367432,70,NO,NO
8926,1,2020,22916478,5.579999923706055,90,NO,NO
8926,1,2020,23132836,6.28000020980835,40,NO,NO
8926,1,2020,23642702,5.880000114440918,70,NO,NO
8926,1,2020,24490058,5.579999923706055,90,NO,NO
8926,1,2020,25576944,6.849999904632568,10,SI,NO
8926,1,2020,25619813,6.670000076293945,10,SI,NO
8926,1,2020,300110,6.150000095367432,50,NO,NO
8926,1,2020,443338,6.099999904632568,50,NO,NO
8926,1,2020,1714012,6.849999904632568,10,SI,NO
8926,1,2020,1943099,5.880000114440918,70,NO,NO
8926,1,2020,2221773,5.230000019073486,100,NO,NO
8926,1,2020,2439970,6.179999828338623,50,NO,NO
8926,1,2020,2766294,5.550000190734863,90,NO,NO
8926,1,2020,4015527,6.179999828338623,50,NO,NO
8926,1,2020,4941560,5.829999923706055,80,NO,NO
8926,1,2020,5100397,6.25,40,NO,NO
8926,1,2020,5356568,6.25,40,NO,NO
8926,1,2020,6744064,5.25,100,NO,NO
8926,1,2020,7149537,6.349999904632568,30,NO,SI
8926,1,2020,7717808,6.75,10,SI,NO
8926,1,2020,7951278,5.880000114440918,70,NO,NO
8926,1,2020,8264116,5.349999904632568,100,NO,NO
8926,1,2020,9183928,6.349999904632568,30,NO,SI
8926,1,2020,9249807,6.050000190734863,50,NO,NO
8926,1,2020,10499328,6.480000019073486,30,NO,SI
8926,1,2020,11028287,6.380000114440918,30,NO,SI
8926,1,2020,12305380,6.550000190734863,20,NO,SI
8926,1,2020,12512500,6.5,20,NO,SI
8926,1,2020,13082258,6.329999923706055,40,NO,NO
8926,1,2020,14142057,5.579999923706055,90,NO,NO
8926,1,2020,14228131,5.849999904632568,70,NO,NO
8926,1,2020,14321329,5.400000095367432,100,NO,NO
8926,1,2020,14343284,6.579999923706055,20,NO,SI
8926,1,2020,15238572,5.480000019073486,100,NO,NO
8926,1,2020,16024572,6.050000190734863,50,NO,NO
8926,1,2020,16866758,5.829999923706055,80,NO,NO
8926,1,2020,18502052,6.150000095367432,50,NO,NO
8926,1,2020,19561066,5.900000095367432,70,NO,NO
8926,1,2020,19569512,5.429999828338623,100,NO,NO
8926,1,2020,19957241,5.75,80,NO,NO
8926,1,2020,21228912,6.5,20,NO,SI
8926,1,2020,21658869,6.179999828338623,50,NO,NO
8926,1,2020,22781133,5.849999904632568,70,NO,NO
8926,1,2020,23454972,5.230000019073486,100,NO,NO
8926,1,2020,23896590,5.929999828338623,70,NO,NO
8926,1,2020,24239614,6.78000020980835,10,SI,NO
8926,1,2020,24900108,5.949999809265137,60,NO,NO
8926,1,2020,737894,5.5,100,NO,NO
8926,1,2020,1501557,6.25,40,NO,NO
8926,1,2020,1706010,6.150000095367432,50,NO,NO
8926,1,2020,2001755,6.28000020980835,40,NO,NO
8926,1,2020,3424359,5.599999904632568,90,NO,NO
8926,1,2020,3726252,5.130000114440918,100,NO,NO
8926,1,2020,3748900,6.050000190734863,50,NO,NO
8926,1,2020,3874746,6.050000190734863,50,NO,NO
8926,1,2020,5051180,5.380000114440918,100,NO,NO
8926,1,2020,5660108,5.880000114440918,70,NO,NO
8926,1,2020,7319481,6.400000095367432,30,NO,SI
8926,1,2020,7815193,6.380000114440918,30,NO,SI
8926,1,2020,7823517,6.099999904632568,50,NO,NO
8926,1,2020,8257846,5.980000019073486,60,NO,NO
8926,1,2020,9562568,6.349999904632568,30,NO,SI
8926,1,2020,11468774,5.53000020980835,90,NO,NO
8926,1,2020,11973993,6.730000019073486,10,SI,NO
8926,1,2020,13427629,5.679999828338623,90,NO,NO
8926,1,2020,16013270,6.130000114440918,50,NO,NO
