RBD,COD_DEPE,AGNO_EGRESO,MRUN,NEM,PERCENTIL,PUESTO_10,PUESTO_30
24896,4,2020,145101,6.369999885559082,10,SI,NO
9460,1,2020,854086,6.579999923706055,10,SI,NO
24840,4,2020,4455919,5.599999904632568,20,NO,SI
25818,3,2020,6034887,5.96999979019165,20,NO,SI
31167,3,2020,7962824,6.329999923706055,10,SI,NO
26030,4,2020,9806705,5.730000019073486,20,NO,SI
1120,2,2020,11132261,6.300000190734863,10,SI,NO
25818,3,2020,12358116,5.800000190734863,30,NO,SI
25463,3,2020,13364469,5.869999885559082,30,NO,SI
25514,6,2020,15312825,4.929999828338623,60,NO,NO
9985,1,2020,17481144,6.329999923706055,10,SI,NO
25818,3,2020,17510856,6.170000076293945,10,SI,NO
25818,3,2020,18227018,6.300000190734863,10,SI,NO
25463,3,2020,19799945,5.429999828338623,60,NO,NO
16820,3,2020,22080446,6,20,NO,SI
40406,3,2020,23529052,6.070000171661377,10,SI,NO
26225,3,2019,2343496,6.5,10,SI,NO
25736,3,2019,2805578,6.5,10,SI,NO
25736,3,2019,3183830,5.53000020980835,20,NO,SI
25463,3,2019,5232665,5.130000114440918,60,NO,NO
9460,1,2019,7096845,6.599999904632568,10,SI,NO
24896,4,2019,10851101,5.599999904632568,20,NO,SI
16849,3,2019,12266930,5.900000095367432,20,NO,SI
25057,4,2019,16412146,5.5,30,NO,SI
25463,3,2019,17212438,6.46999979019165,10,SI,NO
25818,3,2019,18608569,6.130000114440918,10,SI,NO
4124,2,2019,19209607,5.400000095367432,20,NO,SI
25712,3,2019,19360929,5.400000095367432,90,NO,NO
8928,1,2019,24392742,6.199999809265137,10,SI,NO
25271,1,2018,2516191,5.849999904632568,10,SI,NO
20404,3,2018,3638272,5.829999923706055,20,NO,SI
8587,2,2018,3916188,5.630000114440918,30,NO,SI
8554,2,2018,3998168,5.28000020980835,40,NO,NO
16820,3,2018,6254310,5.570000171661377,30,NO,SI
10128,6,2018,6538643,5.03000020980835,60,NO,NO
9330,3,2018,7483829,5.630000114440918,20,NO,SI
25099,4,2018,8577498,6,20,NO,SI
17602,4,2018,9075694,5.130000114440918,80,NO,NO
24843,3,2018,14612937,5.880000114440918,10,SI,NO
8928,1,2018,14950470,6.53000020980835,10,SI,NO
25463,3,2018,15577536,6.480000019073486,10,SI,NO
8928,1,2018,15764993,6.349999904632568,10,SI,NO
26465,3,2018,21812811,5.599999904632568,30,NO,SI
25951,3,2017,1826285,5.400000095367432,20,NO,SI
24896,4,2017,2656540,5.070000171661377,50,NO,NO
25753,3,2017,3793940,5.429999828338623,30,NO,SI
25818,3,2017,12752083,6.449999809265137,10,SI,SI
24896,4,2017,15612902,5.670000076293945,20,NO,SI
24896,4,2017,18784676,6.400000095367432,10,NO,SI
24896,4,2017,19688558,5.099999904632568,50,NO,NO
31167,3,2017,22664784,5.96999979019165,10,SI,SI
26030,4,2015,225160,6.230000019073486,10,NO,SI
8927,1,2012,699138,5.429999828338623,20,NO,SI
24933,4,2014,808321,4.449999809265137,100,NO,NO
8491,2,2013,1076726,6.369999885559082,10,NO,SI
25463,3,2014,2890653,5.070000171661377,70,NO,NO
9288,1,2015,2953581,5.900000095367432,10,NO,SI
24896,4,2015,3569626,6.070000171661377,10,NO,SI
8554,2,2015,4217458,5.900000095367432,20,NO,SI
9585,2,2013,4538934,6.570000171661377,10,NO,SI
26030,4,2015,4999803,6.269999980926514,10,NO,SI
9460,1,2012,5121592,6.300000190734863,10,NO,SI
26030,4,2016,5532235,5.170000076293945,60,NO,NO
31039,3,2015,5870239,5.900000095367432,20,NO,SI
25736,3,2015,6204017,6.199999809265137,10,NO,SI
26201,3,2014,6790134,6.269999980926514,10,NO,SI
8927,1,2012,7066929,6.230000019073486,10,NO,SI
8491,2,2013,9052622,5.699999809265137,20,NO,SI
8928,1,2015,9218116,5.699999809265137,20,NO,SI
31039,3,2015,9937857,6.070000171661377,10,NO,SI
31039,3,2016,10141277,5.800000190734863,30,NO,SI
8488,2,2015,10657803,5.670000076293945,10,NO,SI
24896,4,2012,10699315,6.099999904632568,10,NO,SI
25057,4,2014,12204178,5.269999980926514,30,NO,SI
31167,3,2015,12433751,5.570000171661377,30,NO,SI
8928,1,2011,12747174,5.929999828338623,10,NO,SI
9288,1,2016,13077860,5.570000171661377,20,NO,SI
10604,3,2014,13180746,5.929999828338623,10,NO,SI
31167,3,2014,13238819,6.429999828338623,10,NO,SI
25818,3,2015,13578146,5.300000190734863,30,NO,SI
25271,1,2015,14470540,6,10,NO,SI
9587,2,2013,16578919,5.269999980926514,30,NO,SI
8927,1,2012,16839973,5.929999828338623,10,NO,SI
8491,2,2014,17060708,6.25,10,NO,SI
31039,3,2016,17183936,5.5,50,NO,NO
9586,2,2013,17289291,5.53000020980835,10,NO,SI
10059,3,2014,18565265,6.070000171661377,10,NO,SI
9298,1,2012,18985665,5.630000114440918,20,NO,SI
25514,1,2015,19096856,5.829999923706055,10,NO,SI
8491,2,2014,19359882,6.300000190734863,10,NO,SI
26371,3,2015,19694125,5.96999979019165,10,NO,SI
31039,3,2015,19989642,6.230000019073486,10,NO,SI
10584,1,2013,20507784,5.96999979019165,10,NO,SI
9298,1,2015,20563644,6.269999980926514,10,NO,SI
9330,3,2016,20761822,5.900000095367432,20,NO,SI
25818,3,2016,20925778,5.329999923706055,40,NO,NO
8928,1,2015,21027061,5.769999980926514,20,NO,SI
8553,2,2016,21044834,6.730000019073486,10,SI,SI
31039,3,2016,21081353,5.800000190734863,30,NO,SI
