RBD	NOMBRE	COMUNA
1	LICEO POLITECNICO ARICA	ARICA
2	PARVULARIO LAS ESPIGUITAS	ARICA
3	ESC. PEDRO VICENTE GUTIERREZ TORRES	ARICA
4	LICEO OCTAVIO PALMA PEREZ	ARICA
5	JOVINA NARANJO FERNANDEZ	ARICA
7	L. POLI. ANTONIO VARAS DE LA BARRA	ARICA
8	COLEGIO INTEGRADO EDUARDO FREI MONTALVA	ARICA
9	ESCUELA REPUBLICA DE ISRAEL	ARICA
10	ESCUELA REPUBLICA DE FRANCIA	ARICA
11	ESC. GRAL. PEDRO LAGOS MARCHANT	ARICA
12	ESCUELA GRAL JOSE MIGUEL CARRERA	ARICA
13	ESCUELA MANUEL RODRIGUEZ ERDOYZA	ARICA
14	ESCUELA ROMULO J. PENA MATURANA	ARICA
15	LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI	ARICA
16	ESCUELA REGIMIENTO RANCAGUA	ARICA
17	ESCUELA SUBTTE. LUIS CRUZ MARTINEZ	ARICA
18	ESC. COMTE. JUAN JOSE SAN MARTIN	ARICA
19	ESC. HUMBERTO VALENZUELA GARCIA	ARICA
20	ESCUELA TUCAPEL	ARICA
21	ESCUELA CARLOS GUIRAO MASSIF	ARICA
22	ESCUELA GABRIELA MISTRAL	ARICA
25	COLEGIO CENTENARIO DE ARICA	ARICA
26	ESCUELA REPUBLICA DE ARGENTINA	ARICA
27	ESCUELA ESMERALDA	ARICA
28	ESCUELA RICARDO SILVA ARRIAGADA	ARICA
29	ESCUELA AMERICA	ARICA
30	ESCUELA DR. RICARDO OLEA GUERRA	ARICA
31	ESCUELA DARIO SALAS DIAZ	ARICA
32	LICEO AGRICOLA JOSE ABELARDO NUNEZ M.	ARICA
33	ESCUELA CARLOS CONDELL DE LA HAZA	ARICA
35	ESCUELA GRAL. MANUEL BAQUEDANO	ARICA
36	ESCUELA IGNACIO CARRERA PINTO	ARICA
38	ESCUELA ESPAÑA	ARICA
39	ESCUELA PAMPA ALGODONAL	ARICA
41	ESCUELA VALLE DE CHACA	ARICA
42	ESCUELA MOLINOS LLUTA	ARICA
43	JARDIN INFANTIL CEPILLIN	ARICA
44	JARDIN INFANTIL PEQUENILANDIA	ARICA
45	COLEGIO ITALIANO SANTA ANA	ARICA
46	JARDIN INFANTIL SAN ANDRES	ARICA
47	J.  I. KURUMI	ARICA
49	JARDIN INFANTIL PADRE LUIS GALLARDO	ARICA
50	COLEGIO ADVENTISTA DE ARICA	ARICA
51	ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR	ARICA
52	LICEO BICENTENARIO DOMINGO SANTA MARIA	ARICA
55	JARDIN INFANTIL MONTESSORI GARDEN	ARICA
56	COLEGIO SAN MARCOS DE ARICA	ARICA
58	JARDIN INFANTIL PETETE J.M. BORGOÐO	ARICA
59	COLEGIO SAN JORGE	ARICA
60	COLEGIO ALEMAN DE ARICA	ARICA
66	JARDIN INFANTIL PLUTO	ARICA
67	ABRAHAM LINCOLN SCHOOL	ARICA
69	JUNIOR COLLEGE	ARICA
70	ESCUELA VALLE DE ESQUINA	CAMARONES
72	LICEO VALLE DE CODPA	CAMARONES
73	ESCUELA VALLE DE COBIJA	CAMARONES
74	ESCUELA VALLE DE CAMARONES	CAMARONES
75	ESCUELA VALLE DE GUANACAGUA	CAMARONES
76	ESCUELA VALLE DE CUYA	CAMARONES
78	LICEO GRANADEROS	PUTRE
79	ESCUELA EL MARQUEZ	PUTRE
81	ESCUELA PAYACHATAS	PUTRE
82	ESCUELA SAN FRANCISCO DE ASIS	PUTRE
83	ESCUELA COTA COTANI	PUTRE
84	ESCUELA LOS ALAMOS	PUTRE
86	ESCUELA SAN SANTIAGO DE BELEN	PUTRE
87	ESCUELA ANCOLACANE	GENERAL LAGOS
88	ESCUELA ALCERRECA	GENERAL LAGOS
89	ESCUELA HUMAPALCA	GENERAL LAGOS
90	ESCUELA INTERNADO VISVIRI	GENERAL LAGOS
91	ESCUELA COSAPILLA	GENERAL LAGOS
52	LICEO BICENTENARIO DOMINGO SANTA MARIA
RBD	NOM_RBD	NOM_COM_RBD
8485	LICEO INSTITUTO NACIONAL	SANTIAGO
8487	LICEO JAVIERA CARRERA	SANTIAGO
8488	LICEO N° 4 BICENTENARIO ISAURA DINATOR	SANTIAGO
8489	LICEO BICENTENARIO TERESA PRATS	SANTIAGO
8490	LICEO NRO 2 MIGUEL LUIS AMUNATEGUI	SANTIAGO
8491	LICEO DE APLICACION RECTOR JORGE E SCHNE	SANTIAGO
8492	LICEO MANUEL BARROS BORGONO	SANTIAGO
8494	LICEO A-1 VALENTIN LETELIER	RECOLETA
8495	LICEO CONFEDERACION SUIZA	SANTIAGO
8496	LICEO JOSÉ DE SAN MARTIN	SANTIAGO
8497	LICEO GABRIELA MISTRAL	INDEPENDENCIA
8498	LICEO DARIO SALAS	SANTIAGO
8499	INTERNADO NACIONAL BARROS ARANA	SANTIAGO
8500	LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS	SANTIAGO
8501	LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA	SANTIAGO
8502	LICEO COMERCIAL LUIS CORREA PRIETO	RECOLETA
8503	INST.SUP.DE COMERCIO EDUARDO FREI M.	SANTIAGO
8504	LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT	SANTIAGO
8505	LICEO POLIVALENTE A-28 EMILIA TORO DE BAL	SANTIAGO
8506	INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ	SANTIAGO
8507	LICEO COMERCIAL JOAQUIN VERA MORALES	SANTIAGO
8508	LICEO POLIVALENTE JUAN A.RIOS	QUINTA NORMAL
8510	LICEO PAULA JARAQUEMADA	RECOLETA
8511	LICEO EXPERIMENTAL ARTISTICO B-65	MAIPÚ
8513	ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY	SANTIAGO
8514	LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA	INDEPENDENCIA
8515	ESCUELA BASICA CORNELIA OLIVARES	INDEPENDENCIA
8518	LICEO ESTACION CENTRAL	ESTACIÓN CENTRAL
8519	ESCUELA BASICA PEDRO AGUIRRE CERDA	CERRILLOS
8520	ESCUELA BASICA PROVINCIA DE CHILOE	SANTIAGO
8521	ESCUELA CARLOS CONDELL DE LA HAZA	ESTACIÓN CENTRAL
8522	ESCUELA BASICA REPUBLICA DE COLOMBIA	SANTIAGO
8523	ESCUELA BASICA REPUBLICA DE PANAMA	SANTIAGO
8529	ESCUELA DE PARVULOS ANTU-HUILEN	INDEPENDENCIA
8530	ESCUELA CADETE ARTURO PRAT CHACON	SANTIAGO
8531	ESCUELA BASICA IRENE FREI DE CID	SANTIAGO
8532	ESCUELA BASICA LIBERTADORES DE CHILE	SANTIAGO
8533	ESCUELA BASICA BENJAMIN VICUNA MACKENNA	SANTIAGO
8535	LICEO REPUBLICA DE BRASIL	SANTIAGO
8536	ESCUELA REPUBLICA DE ISRAEL	SANTIAGO
8537	ESCUELA ARNALDO FALABELLA	ESTACIÓN CENTRAL
8540	ESCUELA BASICA REPUBLICA DE HAITI	SANTIAGO
8541	LICEO DE ADULTOS HERBERT VARGAS WALLIS	SANTIAGO
8542	LICEO SAN FRANCISCO DE QUITO	INDEPENDENCIA
8544	ESCUELA BÁSICA ARTURO ALESSANDRI PALMA	ESTACIÓN CENTRAL
8546	ESC.BAS.BILINGUE REPUBLICA DEL PARAGUAY	RECOLETA
8547	ESCUELA NUEVA ZELANDIA	INDEPENDENCIA
8548	ESCUELA BASICA DR LUIS CALVO MACKENNA	SANTIAGO
8549	ESCUELA FERNANDO ALESSANDRI RODRIGUEZ	SANTIAGO
8550	ESCUELA DIFERENCIAL	SANTIAGO
8551	ESC. ESP. LENG. CARDENAL RAUL SILVA H.	SANTIAGO
8552	ESCUELA BAS SALVADOR SANFUENTES REP EEUU	SANTIAGO
8553	ESCUELA DE ADULTOS  JORGE ALESSANDRI R.	RECOLETA
8554	LICEO MUNICIPAL METROPOLITANO DE ADULTOS	SANTIAGO
8555	ESCUELA REPUBLICA EL LIBANO	SANTIAGO
8556	ESCUELA REPUBLICA DE AUSTRIA	ESTACIÓN CENTRAL
8558	ESCUELA BÁSICA HUMBERTO VALENZUELA GARCÍA	ESTACIÓN CENTRAL
8561	ESCUELA REPUBLICA DE ALEMANIA	SANTIAGO
8562	CIUDAD SANTIAGO DE CHILE	SANTIAGO
8563	ESCUELA BASICA REPUBLICA DE MEXICO	SANTIAGO
8564	ESCUELA BASICA REINO DE NORUEGA	QUINTA NORMAL
8565	ESCUELA BASICA DR JUAN VERDAGUER PLANAS	RECOLETA
8567	ESC. DIFERENCIAL EDMUNDO DE AMICIS	SANTIAGO
8569	ESCUELA BASICA REPUBLICA DEL ECUADOR	SANTIAGO
8571	LICEO DR HUMBERTO MATURANA ROMESIN	SANTIAGO
8572	ESCUELA BASICA CAMILO MORI	INDEPENDENCIA
8573	ESCUELA BASICA CD.ARTURO MERINO BENITEZ	INDEPENDENCIA
8575	ESCUELA BASICA REINA VICTORIA	SANTIAGO
8576	ESCUELA BASICA REYES CATOLICOS	SANTIAGO
8579	ESCUELA BASICA UNION LATINOAMERICANA	ESTACIÓN CENTRAL
8581	ESCUELA BÁSICA F Nº 64	SANTIAGO
8583	ESC.DIFERENCIAL REPUBLICA DE SUDAFRICA	SANTIAGO
8584	ESCUELA DIFERENCIAL F-82	INDEPENDENCIA
8585	ESC. CENTRO DE CAPACITACION LABORAL SANTIAGO	SANTIAGO
8586	ESCUELA DIFERENCIAL JUAN SANDOVAL C	SANTIAGO
8587	LICEO DE ADULTOS ESTACION CENTRAL	ESTACIÓN CENTRAL
8589	LICEO MIGUEL RAFAEL PRADO	INDEPENDENCIA
8590	INSTITUTO COMERCIAL PITAGORAS	INDEPENDENCIA
8592	LICEO JOSE MIGUEL INFANTE	SANTIAGO
8598	COLEGIO ALTO PALENA	SANTIAGO
8601	COLEGIO WUNMAN	SANTIAGO
8603	CENTRO EDUCATIVO SALESIANOS ALAMEDA	SANTIAGO
8604	COLEGIO SANTA CRUZ	SANTIAGO
8609	COLEGIO SAN IGNACIO	SANTIAGO
8611	COLEGIO NUESTRA SENORA DE ANDACOLLO	SANTIAGO
8612	LICEO IGNACIO CARRERA PINTO	INDEPENDENCIA
8613	COLEGIO FRANCISCANO MARIA REINA	ESTACIÓN CENTRAL
8614	COLEGIO MARIA TERESA CANCINO AGUILAR	RECOLETA
8615	ESCUELA COLEGIO POLIVALENTE STA FAMILIA	SANTIAGO
8616	COLEGIO POLIVALENTE PLUS ULTRA	INDEPENDENCIA
8617	LICEO POLIT. SARA BLINDER DARGOLTZ	SANTIAGO
8618	INSTITUTO DE ENS.MEDIA CLAUDIO MATTE	SANTIAGO
8620	COLEGIO SAN SEBASTIAN	SANTIAGO
8621	ESCUELA TECNICA L.BDO.O´HIGGINS-DIURNA	INDEPENDENCIA
8623	ESC. BAS. PART. TERESIANA DE SAN GABRIEL	INDEPENDENCIA
8625	CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU	SANTIAGO
8627	COLEGIO SANTA MARIA DE SANTIAGO	SANTIAGO
8629	COLEGIO POLITÉCNICO SANTA ANA	QUINTA NORMAL
8630	LICEO FRANCES	SANTIAGO
8631	COLEGIO ECHAURREN	ESTACIÓN CENTRAL
8632	LICEO POLIVALENTE SANTA JULIANA	RECOLETA
8634	LICEO RUIZ TAGLE	ESTACIÓN CENTRAL
8636	LICEO LEONARDO MURIALDO	RECOLETA
8639	LICEO Y COLEGIO NUEVO HISPANO CHILENO	SANTIAGO
8642	LICEO MANUEL BULNES DE SANTIAGO	SANTIAGO
8643	INSTITUTO COMERCIAL BLAS CANAS	SANTIAGO
8644	COLEGIO INDUSTRIAL VASCO NUNEZ DE BALBOA	INDEPENDENCIA
8645	LICEO JOSE DOMINGO CANAS	QUILICURA
8646	COLEGIO POLIV. MANUEL BAQUEDANO	SANTIAGO
8647	LICEO AVENIDA INDEPENDENCIA DIURNO	INDEPENDENCIA
8648	LICEO METROPOLITANO	ESTACIÓN CENTRAL
8649	COLEGIO LORENZO SAZIE	SANTIAGO
8650	COLEGIO SAN BENILDO	RECOLETA
8652	COLEGIO SAN ANTONIO	SANTIAGO
8653	INSTITUTO COMERCIAL PART.ARTURO PRAT	SANTIAGO
8654	COLEGIO POLITECNICO AVDA. INDEPENDENCIA	INDEPENDENCIA
8656	INST.COMERCIAL L.BERNARDO O`HIGGINS	INDEPENDENCIA
8657	COLEGIO SAN ALBERTO	ESTACIÓN CENTRAL
8658	COLEGIO FRANCISCO ARRIARAN	SANTIAGO
8659	ESCUELA PARTICULAR FRANCISCO ANDRES OLEA	SANTIAGO
8660	LICEO POLIVALENTE ITALIA	SANTIAGO
8661	ESCUELA PARTICULAR GUILLERMO MATTA	SANTIAGO
8663	INSTITUTO HERMANOS MATTE	SANTIAGO
8665	ESCUELA BASICA N°43 PATRONATO SAN ANTONIO	SANTIAGO
8666	COLEGIO SANTA ISABEL	SANTIAGO
8670	ESCUELA PARTICULAR NTRA.SRA.DE LOURDES	QUINTA NORMAL
8671	COLEGIO BICENTENARIO VICTORIA PRIETO	SANTIAGO
8674	ESCUELA PARTICULAR SAN LAZARO	SANTIAGO
8675	COLEGIO SANTA TERESITA DEL NINO JESUS	SANTIAGO
8676	ESCUELA MANUEL JOSE IRARRAZAVAL	SANTIAGO
8678	ESC.SILVIA SALAS EDWARDS	ESTACIÓN CENTRAL
8680	COLEGIO ADVENTISTA PORVENIR	SANTIAGO
8681	COLEGIO ANGLO MAIPU	MAIPÚ
8682	COLEGIO RAFAEL SANHUEZA LIZARDI	RECOLETA
8684	COLEGIO JEAN JACQUES	INDEPENDENCIA
8685	ESCUELA BASICA PARTICULAR CLUB HIPICO	EL BOSQUE
8689	ESCUELA PARTICULAR MARIA GORETTI	ESTACIÓN CENTRAL
8690	ESCUELA PARTICULAR AMOR DE DIOS	CERRILLOS
8697	COLEGIO ORATORIO DON BOSCO	SANTIAGO
8699	ESCUELA PARTICULAR EL PEQUENO ESTUDIANTE	RECOLETA
8700	ESCUELA INSTITUTO CAMILO HENRIQUEZ	RECOLETA
8703	ESCUELA BASICA N°728 MARYLAND COLLEGE	INDEPENDENCIA
8706	ESCUELA SAN BENILDO	RECOLETA
8707	ESC.BASICA PART.BRITANIA CENTRO	SANTIAGO
8709	ESCUELA PARTICULAR JUAN PABLO I	INDEPENDENCIA
8712	ESCUELA BASICA N°1319 DAVID MATARASSO 2	SANTIAGO
8714	ESCUELA PARTICULAR RAMON FREIRE	RECOLETA
8715	COLEGIO SAO PAULO	ESTACIÓN CENTRAL
8717	ESCUELA PARTICULAR SAINT HENRY SCHOOL	SANTIAGO
8718	ESCUELA PARTICULAR DANES	LA FLORIDA
8720	ESCUELA PARTICULAR ESPECIAL ALOA	CONCHALÍ
8721	ESCUELA PARTICULAR ESPECIAL CEDIN	SANTIAGO
8724	COLEGIO SAINT JOSEPH C. THOMAS SCHOOL	LA FLORIDA
8725	ESCUELA PARTICULAR ESPECIAL STA.JULIANA	RECOLETA
8726	ESCUELA PARTICULAR THOMAS JEFFERSON	INDEPENDENCIA
8728	COLEGIO GEORGE WASHINGTON	INDEPENDENCIA
8739	ESCUELA PARTICULAR DIVINA MARIA	SANTIAGO
8740	COLEGIO MARIA LUISA VILLALON	SANTIAGO
8748	COLEGIO INSTITUTO ALONSO DE ERCILLA	SANTIAGO
8750	COLEGIO ACADEMIA DE HUMANIDADES	RECOLETA
8751	COLEGIO INSTITUTO ZAMBRANO	SANTIAGO
8754	COLEGIO HISPANO AMERICANO	SANTIAGO
8755	COLEGIO SAINT ROSE SCHOOL	SANTIAGO
8756	COLEGIO EXCELSIOR	SANTIAGO
8757	COLEGIO DE LOS SAGRADOS CORAZONES ALAMEDA	SANTIAGO
8759	COLEGIO SANTA CECILIA	SANTIAGO
8761	COLEGIO INSTITUTO DE HUMANIDADES LUIS CAMPINO	PROVIDENCIA
8762	COLEGIO SANTA ELENA CARMELITAS MISIONERAS TERESIANA	SANTIAGO
8763	COLEGIO DE ADULTOS CENTRO DE ESTUDIOS LA ARAUCANA	SANTIAGO
8764	LICEO ALEMAN DE SANTIAGO	RECOLETA
8765	COLEGIO JUAN BOSCO	SANTIAGO
8768	LICEO JOSE MIGUEL CARRERA	SANTIAGO
8769	COLEGIO SANTA MARIA CERVELLON	INDEPENDENCIA
8771	COLEGIO CAMBRIDGE	SANTIAGO
8775	COLEGIO LUIS ENRIQUE IZQUIERDO	SANTIAGO
